region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source,Entered by
BRB,1997,77,12159,50,0,318,,individual;regional;local,CRR
CKI,1997,15,4450,164,2886,110,,individual;regional;local,CRR
COP,1997,53,2986,19,8,2,,individual;local;regional,CRR
KOD,1997,19,2506,381,11035,520,,regional;individual;local,CRR
SOP,1997,8,2282,116,2321,628,,local,CRR
NOP,1997,10,2155,95,51,97,,individual;regional;local,CRR
SSE,1997,38,2012,540,15298,5348,,individual;local;regional,CRR
PWS,1997,1,1167,64,25828,2225,,local;individual;regional,CRR
CHG,1997,3,770,91,844,156,,local;regional;individual,CRR
NSE,1997,256,354,1034,13591,6441,,regional;local;individual,CRR
KSK,1997,48,124,168,0,68,,local,CRR
YAK,1997,7,111,401,95,1,,individual;regional;local,CRR
BER,1997,0,10,0,0,0,,regional;local;individual,CRR
NRS,1997,13,0,32,0,34,,local;individual,CRR
ALU,1997,0,0,,0,0,,regional,CRR
BRB,1996,87,29592,125,38,827,,individual;regional,CRR
KOD,1996,13,4970,202,3487,544,,individual,CRR
CKI,1996,15,4376,336,696,167,,regional;individual;local,CRR
COP,1996,58,2357,193,6,26,,regional;local;individual,CRR
SSE,1996,24,2110,1173,53676,5605,,regional;individual,CRR
CHG,1996,3,1958,193,189,121,,local;regional,CRR
NOP,1996,5,1911,157,54,68,,individual;regional,CRR
SOP,1996,6,1543,293,2208,795,,local;individual,CRR
PWS,1996,1,606,172,26042,2078,,regional;individual,CRR
NSE,1996,187,478,1492,10921,10459,,individual;regional,CRR
YAK,1996,10,209,492,32,3,,regional,CRR
KSK,1996,23,123,1102,2,296,,individual;local,CRR
BER,1996,0,38,94,0,0,,regional,CRR
YUK,1996,112,0,35,0,153,,individual;regional,CRR
NRS,1996,0,0,70,487,5,,regional;local,CRR
KTZ,1996,0,0,0,0,143,,regional,CRR
